full_name,class,neo,pha,H,diameter,albedo,rot_per,GM,density,e,a,q,i,om,w,ma,n,per,moid,condition_code,n_obs_used
  1444 Pannonia (1938 AE),MBA,N,N,11.76,26.363,0.053,10.756,,,0.137,3.153,2.721,17.76,303.2,310.09,112.68,0.176,2050.0,1.74,0,8659
  1445 Konkolya (1938 AF),MBA,N,N,11.82,20.332,0.078,,,,0.1854,3.121,2.542,2.28,88.89,274.86,89.77,0.1787,2010.0,1.54,0,5450
  1446 Sillanpaa (1938 BA),MBA,N,N,12.75,8.167,0.241,9.6602,,,0.1005,2.246,2.02,5.25,17.41,196.44,315.18,0.2929,1230.0,1.01,0,9932
  1447 Utra (1938 BB),MBA,N,N,11.73,11.834,0.303,257.0,,,0.0414,2.534,2.429,4.78,35.38,67.75,294.64,0.2443,1470.0,1.45,0,5607
  1448 Lindbladia (1938 DF),MBA,N,N,13.05,20.65,0.0378,10.969,,,0.186,2.372,1.931,5.81,44.75,75.06,15.99,0.2697,1330.0,0.956,0,16868
  1449 Virtanen (1938 DO),MBA,N,N,12.09,9.263,0.285,30.495,,,0.143,2.222,1.904,6.64,110.68,132.25,101.39,0.2976,1210.0,0.897,0,6492
  1450 Raimonda (1938 DP),MBA,N,N,12.51,18.481,0.094,12.67,,,0.1718,2.611,2.162,4.85,74.83,14.92,330.31,0.2337,1540.0,1.18,0,11751
  1451 Grano (1938 DT),MBA,N,N,13.25,6.17,0.429,138.0,,,0.1173,2.204,1.946,5.11,175.19,51.72,245.26,0.3012,1200.0,0.94,0,6862
  1452 Hunnia (1938 DZ1),MBA,N,N,12.22,20.91,0.046,17.2,,,0.2021,3.112,2.483,14.2,21.27,93.55,14.8,0.1795,2010.0,1.55,0,4572
  1453 Fennia (1938 ED1),IMB,N,N,12.49,6.573,0.409,4.4121,,,0.0284,1.897,1.843,23.67,7.04,254.62,124.69,0.3773,954.0,0.876,0,5025
  1454 Kalevala (1936 DO),MBA,N,N,12.7,5.117,0.615,,,,0.1426,2.364,2.027,5.09,352.47,135.59,262.26,0.2711,1330.0,1.05,0,5063
  1455 Mitchella (1937 LF),MBA,N,N,12.79,6.646,0.333,118.7,,,0.1258,2.246,1.964,7.75,128.24,100.86,118.89,0.2928,1230.0,0.969,0,5590
  1456 Saldanha (1937 NG),OMB,N,N,11.15,37.815,0.052,19.035,,,0.2241,3.208,2.489,10.45,282.36,65.8,107.05,0.1716,2100.0,1.5,0,7309
  1457 Ankara (1937 PA),MBA,N,N,10.81,17.834,0.32,35.54,,,0.1582,2.695,2.269,6.08,296.07,296.71,55.24,0.2228,1620.0,1.26,0,6719
  1458 Mineura (1937 RC),MBA,N,N,11.33,17.19,0.1502,930.0,,,0.1826,2.625,2.146,12.54,181.57,100.09,313.23,0.2318,1550.0,1.17,0,5872
  1459 Magnya (1937 VA),MBA,N,N,10.47,29.188,0.909,4.678,,,0.2282,3.153,2.433,16.89,41.38,328.77,290.55,0.1761,2040.0,1.45,0,11418
  1460 Haltia (1937 WC),MBA,N,N,12.64,8.44,0.226,3.59,,,0.1858,2.544,2.072,6.68,74.07,358.13,254.8,0.2428,1480.0,1.09,0,4509
  1461 Jean-Jacques (1937 YL),MBA,N,N,10.13,35.145,0.172,8.2788,,,0.0508,3.126,2.967,15.32,104.61,334.07,0.06,0.1783,2020.0,1.99,0,8439
  1462 Zamenhof (1938 CA),MBA,N,N,11.38,27.366,0.087,10.4,,,0.1081,3.146,2.806,0.96,24.73,186.28,177.79,0.1766,2040.0,1.8,0,7769
  1463 Nordenmarkia (1938 CB),MBA,N,N,10.71,36.547,0.031,5.918,,,0.1946,3.149,2.536,7.26,329.09,80.29,336.91,0.1764,2040.0,1.56,0,9999
  1464 Armisticia (1939 VO),MBA,N,N,10.98,23.313,0.126,7.5,,,0.0453,3.005,2.868,11.54,86.55,61.13,104.91,0.1892,1900.0,1.9,0,6565
  1465 Autonoma (1938 FA),MBA,N,N,11.74,18.111,0.123,4.882,,,0.178,3.026,2.487,9.92,166.92,50.23,193.07,0.1873,1920.0,1.49,0,6959
  1466 Mundleria (1938 KA),MBA,N,N,12.43,22.131,0.061,89.28,,,0.1557,2.377,2.007,13.14,154.79,75.56,333.47,0.2689,1340.0,1.04,0,12961
  1467 Mashona (1938 OE),OMB,N,N,8.77,89.16,0.083,9.76,,,0.1267,3.388,2.959,21.9,326.29,350.4,8.93,0.158,2280.0,1.95,0,8690
  1469 Linzia (1938 QD),MBA,N,N,9.94,74.78,0.038,22.215,,,0.0609,3.125,2.935,13.42,188.69,206.97,228.41,0.1784,2020.0,1.94,0,8698
  1470 Carla (1938 SD),MBA,N,N,11.13,36.97,0.0515,6.15,,,0.074,3.155,2.922,3.2,358.18,338.29,206.7,0.1759,2050.0,1.91,0,6259
  1471 Tornio (1938 SL1),MBA,N,N,11.14,28.719,0.085,6.6,,,0.1194,2.715,2.391,13.61,321.84,93.22,129.28,0.2203,1630.0,1.45,0,8137
  1472 Muonio (1938 UQ),MBA,N,N,12.39,8.388,0.24,8.706,,,0.1982,2.234,1.792,4.57,45.15,319.06,52.54,0.2951,1220.0,0.792,0,6156
  1473 Ounas (1938 UT),MBA,N,N,11.88,18.164,0.11,139.1,,,0.2368,2.575,1.966,13.64,216.45,129.43,63.42,0.2385,1510.0,0.989,0,8306
  1476 Cox (1936 RA),MBA,N,N,12.91,7.381,0.187,7.6994,,,0.1903,2.281,1.847,6.32,330.45,349.86,338.69,0.2861,1260.0,0.833,0,6371
  1477 Bonsdorffia (1938 CC),OMB,N,N,11.6,25.851,0.032,7.8,,,0.2659,3.21,2.357,15.81,319.81,105.41,222.54,0.1714,2100.0,1.43,0,5266
  1478 Vihuri (1938 CF),MBA,N,N,12.34,9.523,0.126,19.742,,,0.0896,2.466,2.245,7.83,318.51,162.68,258.05,0.2545,1410.0,1.26,0,6802
  1479 Inkeri (1938 DE),MBA,N,N,11.9,15.206,0.222,660.0,,,0.1949,2.674,2.153,7.29,17.98,79.57,47.5,0.2254,1600.0,1.18,0,5380
  1480 Aunus (1938 DK),MBA,N,N,13.2,6.385,0.257,5.16,,,0.1094,2.203,1.962,4.86,63.58,65.43,327.67,0.3015,1190.0,0.982,0,7003
  1481 Tubingia (1938 DR),MBA,N,N,10.45,33.77,0.104,225.6,,,0.0411,3.019,2.895,3.51,353.6,316.78,123.5,0.1879,1920.0,1.88,0,8911
  1482 Sebastiana (1938 DA1),MBA,N,N,11.04,17.186,0.217,10.489,,,0.0394,2.871,2.758,2.97,70.96,219.45,243.27,0.2026,1780.0,1.74,0,5399
  1483 Hakoila (1938 DJ1),MBA,N,N,12.01,10.633,0.237,239.1,,,0.1809,2.715,2.224,4.49,71.76,88.38,213.31,0.2203,1630.0,1.24,0,7088
  1484 Postrema (1938 HC),MBA,N,N,10.83,40.871,0.015,12.1923,,,0.2071,2.736,2.169,17.3,72.6,126.87,127.02,0.2178,1650.0,1.21,0,5469
  1485 Isa (1938 OB),MBA,N,N,11.86,17.336,0.117,,,,0.119,3.022,2.663,8.93,297.3,46.14,194.44,0.1876,1920.0,1.66,0,7394
  1486 Marilyn (1938 QA),MBA,N,N,12.88,6.414,0.391,4.566,,,0.1251,2.198,1.923,0.07,331.92,351.21,280.77,0.3024,1190.0,0.909,0,7324
