id,name,nasaJplUrl,absoluteMagnitude,estimatedDiameterMinKm,estimatedDiameterMaxKm,isPotentiallyHazardous,isSentryObject,closeApproachDate,closeApproachVelocityKmh,missDistanceKm,orbitingBody
2276392,276392 (2002 XH4),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2276392,19.48,0.3377185972,0.7551617405,False,False,1961-07-05,27317.2929166871,29836530.442148347,Earth
2276397,276397 (2002 XA40),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2276397,17.2,0.9650614696,2.1579430484,False,False,1903-09-24,14108.1259210891,29015178.296700347,Earth
2276732,276732 (2004 EV9),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2276732,17.73,0.7560577624,1.6905965516,False,False,1911-03-20,167016.5145026543,833847.098102732,Merc
2276786,276786 (2004 KD1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2276786,17.83,0.7220295577,1.6145071727,False,False,1934-06-27,22872.5932730365,22633335.047433509,Earth
2277475,277475 (2005 WK4),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2277475,20.22,0.2401900301,0.5370812349,True,False,1915-09-20,19684.1164075436,15246949.371573153,Venus
2277616,277616 (2006 BN6),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2277616,17.41,0.876102615,1.9590250023,False,False,1905-08-02,28317.8829087216,148056799.913938849,Juptr
2275975,275975 (2001 XF1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2275975,19.47,0.3392774354,0.7586474087,False,False,1902-11-13,74903.5049099519,55341049.477334308,Earth
2275976,275976 (2001 XV10),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2275976,16.17,1.5507970872,3.4676877062,False,False,1955-10-21,57329.19714524,12363159.309868133,Earth
2276049,276049 (2002 CE26),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2276049,16.64,1.2489785407,2.7928009194,False,False,1994-09-03,100829.2815787709,19282454.284645594,Earth
2276660,276660 (2003 WB25),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2276660,18.41,0.5527833794,1.2360612132,False,False,1910-12-19,58121.7954828268,54186938.920797346,Earth
2276770,276770 (2004 HC),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2276770,19.94,0.273246732,0.6109982675,False,False,1901-04-19,77217.1810207996,16100813.921303993,Earth
2277473,277473 (2005 WD1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2277473,16.81,1.1549281758,2.5824979103,False,False,1930-08-27,69167.7179246531,13002527.052681111,Mars
2277570,277570 (2005 YP180),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2277570,19.34,0.3602093458,0.8054525833,True,False,1902-09-23,76828.6436212807,69625575.238859046,Earth
2277830,277830 (2006 HR29),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2277830,20.71,0.191670368,0.428587972,False,False,1906-04-24,78317.2888099492,71478373.566640299,Earth
