id,name,nasaJplUrl,absoluteMagnitude,estimatedDiameterMinKm,estimatedDiameterMaxKm,isPotentiallyHazardous,isSentryObject,closeApproachDate,closeApproachVelocityKmh,missDistanceKm,orbitingBody,class,neo,pha,H,diameter,albedo,rot_per,GM,density,e,a,q,i,om,w,ma,n,per,moid,condition_code,n_obs_used
2422638,422638 (1994 CB),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2422638,21.09,0.1608996045,0.3597824532,False,False,1909-02-10,35890.7121532074,26053531.56441189,Earth,APO,Y,N,21.09,0.193,0.195,8.676,,,0.1451,1.149,0.983,18.26,310.62,288.52,202.23,0.7998,450.0,0.0545,0.0,205
2422686,422686 (2000 AC6),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2422686,21.6,0.1272198785,0.2844722965,True,False,1903-08-21,29574.3647544639,16899554.184143838,Venus,ATE,Y,Y,21.6,0.176,0.143,2.4437,,,0.2865,0.8537,0.609,4.7,101.35,188.09,114.79,1.25,288.0,0.0462,0.0,464
2423321,423321 (2005 ED318),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2423321,20.9,0.1756123185,0.3926810818,True,False,1937-04-08,54636.4798286947,43268090.318266906,Earth,AMO,Y,Y,20.9,0.202,0.212,17.157,,,0.4502,1.85,1.017,2.39,82.04,164.37,52.13,0.3917,919.0,0.00676,0.0,615
2429382,429382 (2010 NW117),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2429382,18.34,0.57089334,1.2765563162,False,False,1911-07-22,6906.2785429139,274101709.18749267,Juptr,AMO,Y,N,18.34,0.448,0.463,,,,0.5328,2.354,1.1,3.41,252.66,148.6,53.96,0.273,1320.0,0.112,0.0,466
2431107,431107 (2006 GU),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2431107,17.69,0.7701139256,1.7220270881,False,False,1907-07-08,25573.5399123581,244422511.37873545,Juptr,AMO,Y,N,17.69,1.266,0.092,,,,0.584,2.698,1.123,17.7,148.92,146.48,115.05,0.2223,1620.0,0.154,0.0,451
2436030,436030 (2009 JO2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2436030,19.42,0.3471802221,0.776318577,False,False,1904-08-27,67927.0348163664,20063228.81568459,Venus,ATE,Y,N,19.42,0.295,0.296,,,,0.4784,0.8883,0.463,19.62,203.41,239.73,327.2,1.177,306.0,0.0567,0.0,653
2436324,436324 (2010 GZ6),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2436324,19.44,0.3439972547,0.7692012455,False,False,1909-10-23,71479.4152804859,8779951.409393648,Mars,AMO,Y,N,19.44,0.369,0.205,,,,0.1441,1.401,1.199,44.84,199.43,73.93,83.33,0.5941,606.0,0.309,0.0,462
2437879,437879 (2001 RX11),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2437879,17.72,0.7595475664,1.6983999907,False,False,1907-03-31,25526.3821150318,274971033.7795008,Juptr,AMO,Y,N,17.72,1.82,0.044,,,,0.5462,2.767,1.256,13.09,343.59,308.08,106.69,0.2142,1680.0,0.298,0.0,534
2437994,437994 (2003 UL12),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2437994,17.48,0.8483107619,1.8968805296,False,False,1924-11-26,47370.9876451294,49214798.55722027,Earth,APO,Y,N,17.48,1.078,0.2,,,,0.7034,3.28,0.973,19.81,192.68,275.32,243.17,0.166,2170.0,0.254,0.0,495
2433992,433992 (2000 HD74),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2433992,17.93,0.6895328745,1.54184238,False,False,1941-10-20,48532.6488217687,250126574.4306724,Juptr,AMO,Y,N,17.93,0.827,0.144,9.36,,,0.5979,2.918,1.173,49.25,55.18,223.54,29.45,0.1977,1820.0,0.274,0.0,694
2434740,434740 (2006 GZ),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2434740,19.49,0.3361669212,0.7516920875,False,False,2074-10-10,50897.2691525465,24124864.66190035,Earth,APO,Y,N,19.49,0.997,0.031,,,,0.3798,1.527,0.947,12.48,25.57,292.5,59.58,0.5221,689.0,0.0828,0.0,251
