full_name,class,neo,pha,H,diameter,albedo,rot_per,GM,density,e,a,q,i,om,w,ma,n,per,moid,condition_code,n_obs_used
  7482 (1994 PC1),APO,Y,Y,16.58,1.052,0.277,2.5999,,,0.3294,1.349,0.904,33.47,117.85,47.49,138.26,0.6292,572.0,0.000726,0.0,2081
  7822 (1991 CS),APO,Y,Y,17.34,1.602,0.075,2.3896,,,0.1646,1.123,0.938,37.12,156.84,249.46,153.76,0.8285,434.0,0.0216,0.0,3809
  7839 (1994 ND),AMO,Y,N,17.83,0.784,0.181,,,,0.5186,2.165,1.042,27.12,102.5,228.3,291.79,0.3094,1160.0,0.135,0.0,202
  7888 (1993 UC),APO,Y,N,15.19,2.298,0.257,2.337,,,0.6632,2.439,0.821,26.08,165.87,323.04,127.65,0.2588,1390.0,0.0869,0.0,1430
  7889 (1994 LX),APO,Y,N,15.24,1.68,0.452,2.741,,,0.3463,1.262,0.825,36.91,111.26,349.2,255.3,0.6956,518.0,0.155,0.0,6483
  8013 Gordonmoore (1990 KA),AMO,Y,N,17.09,2.3,,8.4,,,0.4321,2.2,1.249,7.6,105.34,147.4,311.25,0.3021,1190.0,0.244,0.0,920
  8014 (1990 MF),APO,Y,Y,18.88,0.7,,50.09,,,0.456,1.748,0.951,1.87,209.82,114.77,102.14,0.4266,844.0,0.0168,0.0,1297
  8201 (1994 AH2),APO,Y,N,15.93,1.859,0.154,23.949,,,0.7061,2.54,0.746,9.54,164.08,25.11,297.03,0.2435,1480.0,0.101,0.0,1010
  8566 (1996 EN),APO,Y,Y,16.47,1.568,0.217,4.845,,,0.4304,1.506,0.858,37.98,164.09,125.16,303.34,0.5331,675.0,0.0226,0.0,3649
  8567 (1996 HW1),AMO,Y,N,15.36,2.928,0.156,8.7573,,,0.4491,2.046,1.127,8.45,177.09,177.28,314.32,0.3369,1070.0,0.122,0.0,5530
  9162 Kwiila (1987 OA),APO,Y,N,18.01,1.127,0.088,15.13,,,0.5955,1.497,0.605,9.01,179.98,235.85,292.6,0.5383,669.0,0.0806,0.0,786
